algorithm,quality,run_id,sharpe_ratio,annual_return,runtime,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,gaussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2
GA,median,30,1.0393758536525035,1528.5009772630679,27.59471344947815,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,31,0.9773533892651182,1858.8686041432088,27.37934398651123,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,worst,1,0.7891298015060415,42.12485842919435,63.90327978134155,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,2,0.8583652955782627,40.48919505670935,29.18666434288025,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,3,0.7076209976016831,74.55596529315585,30.102840423583984,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,4,0.8576048899520826,46.68394690451066,30.177887678146362,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,5,0.6839653043827811,40.08530280411391,29.076659440994263,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,6,0.757811413112382,40.506111667222235,29.000837564468384,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,7,0.7342036721657803,65.01312689075604,29.746991872787476,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,8,0.682462541775473,36.48016918732942,29.22679591178894,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,9,0.6937984040408025,45.2340742580489,28.925238847732544,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,10,0.8135716758001319,53.419910024367596,28.330211639404297,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,11,0.7717349978361565,50.52542539690381,29.61050581932068,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,12,0.8288053102031097,52.31192413840773,29.212590217590332,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,13,0.7508197227043456,46.84894222045442,30.708836555480957,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,14,0.7718864197173145,50.39231598668376,29.885137796401978,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,15,0.7473209500763192,44.830871218404404,30.481264352798462,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,16,0.8429517372293186,51.30444425536609,29.675782442092896,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,17,0.7157917961875768,38.82480149424113,30.5011248588562,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,18,0.7736932478034073,52.605024103645924,30.32166624069214,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,19,0.7416124988338488,52.558077478811626,30.45939064025879,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,20,0.7601297242582109,38.08468731448254,30.63612937927246,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,21,0.8040817186065565,37.94305986631786,30.33406710624695,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,22,0.7608284684734355,83.23743911465567,30.45769691467285,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,23,0.7762990596229395,65.47074474797229,30.420249223709106,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,24,0.7803450515313395,44.94548148140971,30.674232721328735,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,worst,25,0.7263708067219272,59.69056568300102,31.395668268203735,normalize,0.4617309064317158,0.0123010608834515,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
