Company,Weight,Percentage,Sharpe Ratio,Annual Return
"Marinus Pharmaceuticals, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Village Bank and Trust Financial Corp. - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Dynavax Technologies Corporation - Common Stock,0.000368394,0.0368394,1.2556237624753923,423.02251299945505
Golar LNG Limited - Common Shares,0.000207303,0.0207303,1.2556237624753923,423.02251299945505
Fly Leasing Limited,0.0,0.0,1.2556237624753923,423.02251299945505
"Netflix, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Trustmark Corporation - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Taiwan Semiconductor Manufacturing Company Ltd.,0.0,0.0,1.2556237624753923,423.02251299945505
"LendingTree, Inc. - Common Stock",0.099117237,9.9117237,1.2556237624753923,423.02251299945505
Hoegh LNG Partners LP Common Units representing Limited Partner Interests,0.0,0.0,1.2556237624753923,423.02251299945505
"The Chefs' Warehouse, Inc. - Common Stock",0.010501049,1.0501049,1.2556237624753923,423.02251299945505
"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A",9.2665e-05,0.009266499999999999,1.2556237624753923,423.02251299945505
Synthetic Fixed-Income Securities Inc 6.375% (STRATS) Cl A-1,0.0,0.0,1.2556237624753923,423.02251299945505
Brookfield Asset Management Inc. Common Stock,0.065356141,6.535614100000001,1.2556237624753923,423.02251299945505
"IF Bancorp, Inc. - Common Stock",0.000455106,0.0455106,1.2556237624753923,423.02251299945505
"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",0.0,0.0,1.2556237624753923,423.02251299945505
"NACCO Industries, Inc. Common Stock",0.001161192,0.11611919999999999,1.2556237624753923,423.02251299945505
Aptorum Group Limited - Class A Ordinary Shares,0.0,0.0,1.2556237624753923,423.02251299945505
"Voya Infrastructure, Industrials and Materials Fund Common Shares of Beneficial Interest",0.001805152,0.1805152,1.2556237624753923,423.02251299945505
Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,7.665e-05,0.007665000000000001,1.2556237624753923,423.02251299945505
Shaw Communications Inc. Common Stock,1.42e-07,1.42e-05,1.2556237624753923,423.02251299945505
Digirad Corporation - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Genesco Inc. Common Stock,2.2388e-05,0.0022388,1.2556237624753923,423.02251299945505
"Exela Technologies, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
